Name	Map	K4_1	K5_1	K6_1	K4_2	K5_2	K6_2	K4_3	K5_3	K6_3	K4_4	K5_4	K6_4	K4_5	K5_5	K6_5	K4_6	K5_6	K6_6	K4_7	K5_7	K6_7	K4_8	K5_8	K6_8	K4_9	K5_9	K6_9	K4_10	K5_10	K6_10	Show Resp.	Comment
RAND_00001	FALSE	5	5	5	9	9	9	11	11	11	9	9	9	11	11	11	7	7	7	1	1	1	3	3	3	7	7	7	3	3	3	FALSE	
RAND_00002	FALSE	5	5	5	3	3	3	3	3	3	5	5	5	3	3	3	7	7	7	9	9	9	1	1	1	1	1	1	5	5	5	FALSE	
RAND_00003	FALSE	5	5	5	3	3	3	11	11	11	11	11	11	11	11	11	3	3	3	11	11	11	11	11	11	9	9	9	11	11	11	FALSE	
RAND_00004	FALSE	5	5	5	1	1	1	9	9	9	3	3	3	9	9	9	9	9	9	9	9	9	9	9	9	11	11	11	1	1	1	FALSE	
RAND_00005	FALSE	5	5	5	1	1	1	3	3	3	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	11	11	11	7	7	7	FALSE	
RAND_00006	FALSE	5	5	5	11	11	11	9	9	9	1	1	1	3	3	3	9	9	9	3	3	3	7	7	7	7	7	7	1	1	1	FALSE	
RAND_00007	FALSE	5	5	5	5	5	5	9	9	9	11	11	11	5	5	5	3	3	3	3	3	3	1	1	1	9	9	9	3	3	3	FALSE	
RAND_00008	FALSE	5	5	5	9	9	9	3	3	3	11	11	11	11	11	11	5	5	5	9	9	9	7	7	7	11	11	11	7	7	7	FALSE	
RAND_00009	FALSE	5	5	5	9	9	9	11	11	11	5	5	5	9	9	9	1	1	1	1	1	1	7	7	7	11	11	11	3	3	3	FALSE	
RAND_00010	FALSE	5	5	5	3	3	3	3	3	3	11	11	11	1	1	1	7	7	7	3	3	3	9	9	9	1	1	1	9	9	9	FALSE	
RAND_00011	FALSE	5	5	5	9	9	9	11	11	11	9	9	9	9	9	9	1	1	1	3	3	3	7	7	7	7	7	7	9	9	9	FALSE	
RAND_00012	FALSE	5	5	5	11	11	11	3	3	3	11	11	11	3	3	3	1	1	1	7	7	7	7	7	7	11	11	11	11	11	11	FALSE	
RAND_00013	FALSE	5	5	5	7	7	7	5	5	5	11	11	11	3	3	3	5	5	5	9	9	9	11	11	11	9	9	9	7	7	7	FALSE	
RAND_00014	FALSE	5	5	5	5	5	5	11	11	11	5	5	5	5	5	5	5	5	5	1	1	1	9	9	9	5	5	5	11	11	11	FALSE	
RAND_00015	FALSE	5	5	5	9	9	9	7	7	7	7	7	7	7	7	7	5	5	5	3	3	3	7	7	7	1	1	1	11	11	11	FALSE	
RAND_00016	FALSE	5	5	5	9	9	9	9	9	9	3	3	3	7	7	7	5	5	5	1	1	1	7	7	7	7	7	7	11	11	11	FALSE	
RAND_00017	FALSE	5	5	5	5	5	5	9	9	9	7	7	7	5	5	5	3	3	3	5	5	5	1	1	1	5	5	5	11	11	11	FALSE	
RAND_00018	FALSE	5	5	5	5	5	5	1	1	1	5	5	5	1	1	1	1	1	1	3	3	3	7	7	7	11	11	11	1	1	1	FALSE	
RAND_00019	FALSE	5	5	5	9	9	9	1	1	1	1	1	1	9	9	9	7	7	7	3	3	3	1	1	1	11	11	11	11	11	11	FALSE	
RAND_00020	FALSE	5	5	5	3	3	3	1	1	1	3	3	3	5	5	5	5	5	5	9	9	9	7	7	7	7	7	7	5	5	5	FALSE	
RAND_00021	FALSE	5	5	5	1	1	1	11	11	11	11	11	11	1	1	1	5	5	5	9	9	9	5	5	5	3	3	3	9	9	9	FALSE	
RAND_00022	FALSE	5	5	5	3	3	3	1	1	1	9	9	9	7	7	7	11	11	11	7	7	7	1	1	1	11	11	11	5	5	5	FALSE	
RAND_00023	FALSE	5	5	5	7	7	7	9	9	9	7	7	7	1	1	1	1	1	1	3	3	3	7	7	7	1	1	1	5	5	5	FALSE	
RAND_00024	FALSE	5	5	5	9	9	9	3	3	3	5	5	5	9	9	9	7	7	7	11	11	11	11	11	11	9	9	9	1	1	1	FALSE	
RAND_00025	FALSE	5	5	5	7	7	7	9	9	9	9	9	9	5	5	5	9	9	9	1	1	1	3	3	3	11	11	11	5	5	5	FALSE	
RAND_00026	FALSE	5	5	5	3	3	3	5	5	5	1	1	1	1	1	1	5	5	5	1	1	1	7	7	7	11	11	11	3	3	3	FALSE	
RAND_00027	FALSE	5	5	5	11	11	11	9	9	9	1	1	1	3	3	3	5	5	5	9	9	9	9	9	9	7	7	7	3	3	3	FALSE	
RAND_00028	FALSE	5	5	5	11	11	11	9	9	9	7	7	7	3	3	3	7	7	7	3	3	3	3	3	3	3	3	3	11	11	11	FALSE	
RAND_00029	FALSE	5	5	5	3	3	3	11	11	11	7	7	7	7	7	7	9	9	9	7	7	7	7	7	7	11	11	11	1	1	1	FALSE	
RAND_00030	FALSE	5	5	5	3	3	3	11	11	11	11	11	11	7	7	7	3	3	3	7	7	7	1	1	1	7	7	7	5	5	5	FALSE	
RAND_00031	FALSE	5	5	5	11	11	11	11	11	11	5	5	5	5	5	5	3	3	3	1	1	1	3	3	3	5	5	5	11	11	11	FALSE	
RAND_00032	FALSE	5	5	5	3	3	3	5	5	5	1	1	1	3	3	3	7	7	7	5	5	5	5	5	5	7	7	7	5	5	5	FALSE	
RAND_00033	FALSE	5	5	5	9	9	9	1	1	1	3	3	3	5	5	5	5	5	5	5	5	5	11	11	11	7	7	7	5	5	5	FALSE	
RAND_00034	FALSE	5	5	5	7	7	7	11	11	11	1	1	1	3	3	3	3	3	3	7	7	7	3	3	3	11	11	11	11	11	11	FALSE	
RAND_00035	FALSE	5	5	5	7	7	7	11	11	11	9	9	9	11	11	11	1	1	1	5	5	5	3	3	3	7	7	7	3	3	3	FALSE	
RAND_00036	FALSE	5	5	5	3	3	3	3	3	3	9	9	9	1	1	1	3	3	3	5	5	5	9	9	9	11	11	11	3	3	3	FALSE	
RAND_00037	FALSE	5	5	5	9	9	9	9	9	9	3	3	3	1	1	1	1	1	1	5	5	5	9	9	9	3	3	3	11	11	11	FALSE	
RAND_00038	FALSE	5	5	5	11	11	11	7	7	7	9	9	9	11	11	11	5	5	5	11	11	11	9	9	9	7	7	7	5	5	5	FALSE	
RAND_00039	FALSE	5	5	5	7	7	7	1	1	1	11	11	11	1	1	1	9	9	9	9	9	9	3	3	3	9	9	9	1	1	1	FALSE	
RAND_00040	FALSE	5	5	5	5	5	5	11	11	11	7	7	7	3	3	3	3	3	3	5	5	5	3	3	3	1	1	1	5	5	5	FALSE	
RAND_00041	FALSE	5	5	5	9	9	9	1	1	1	1	1	1	11	11	11	9	9	9	5	5	5	11	11	11	7	7	7	5	5	5	FALSE	
RAND_00042	FALSE	5	5	5	1	1	1	9	9	9	1	1	1	11	11	11	7	7	7	5	5	5	3	3	3	5	5	5	11	11	11	FALSE	
RAND_00043	FALSE	5	5	5	9	9	9	3	3	3	1	1	1	11	11	11	5	5	5	11	11	11	7	7	7	1	1	1	3	3	3	FALSE	
RAND_00044	FALSE	5	5	5	9	9	9	1	1	1	5	5	5	3	3	3	7	7	7	1	1	1	5	5	5	9	9	9	3	3	3	FALSE	
RAND_00045	FALSE	5	5	5	5	5	5	7	7	7	5	5	5	3	3	3	7	7	7	7	7	7	1	1	1	11	11	11	9	9	9	FALSE	
RAND_00046	FALSE	5	5	5	7	7	7	3	3	3	11	11	11	11	11	11	3	3	3	5	5	5	5	5	5	5	5	5	7	7	7	FALSE	
RAND_00047	FALSE	5	5	5	3	3	3	1	1	1	7	7	7	5	5	5	9	9	9	3	3	3	3	3	3	3	3	3	5	5	5	FALSE	
RAND_00048	FALSE	5	5	5	3	3	3	3	3	3	3	3	3	5	5	5	9	9	9	1	1	1	5	5	5	5	5	5	9	9	9	FALSE	
RAND_00049	FALSE	5	5	5	9	9	9	3	3	3	5	5	5	5	5	5	1	1	1	11	11	11	3	3	3	3	3	3	9	9	9	FALSE	
RAND_00050	FALSE	5	5	5	9	9	9	5	5	5	11	11	11	11	11	11	3	3	3	3	3	3	1	1	1	11	11	11	7	7	7	FALSE	
RAND_00051	FALSE	5	5	5	9	9	9	3	3	3	11	11	11	9	9	9	11	11	11	1	1	1	7	7	7	7	7	7	3	3	3	FALSE	
RAND_00052	FALSE	5	5	5	9	9	9	1	1	1	5	5	5	11	11	11	3	3	3	3	3	3	3	3	3	1	1	1	3	3	3	FALSE	
RAND_00053	FALSE	5	5	5	11	11	11	11	11	11	5	5	5	1	1	1	5	5	5	7	7	7	11	11	11	3	3	3	11	11	11	FALSE	
RAND_00054	FALSE	5	5	5	9	9	9	3	3	3	11	11	11	9	9	9	5	5	5	1	1	1	1	1	1	7	7	7	7	7	7	FALSE	
RAND_00055	FALSE	5	5	5	1	1	1	5	5	5	1	1	1	9	9	9	5	5	5	3	3	3	1	1	1	11	11	11	11	11	11	FALSE	
RAND_00056	FALSE	5	5	5	9	9	9	5	5	5	11	11	11	11	11	11	1	1	1	7	7	7	1	1	1	1	1	1	11	11	11	FALSE	
RAND_00057	FALSE	5	5	5	11	11	11	1	1	1	11	11	11	7	7	7	7	7	7	5	5	5	3	3	3	9	9	9	5	5	5	FALSE	
RAND_00058	FALSE	5	5	5	5	5	5	9	9	9	5	5	5	5	5	5	11	11	11	1	1	1	11	11	11	9	9	9	5	5	5	FALSE	
RAND_00059	FALSE	5	5	5	5	5	5	9	9	9	5	5	5	7	7	7	3	3	3	5	5	5	9	9	9	5	5	5	3	3	3	FALSE	
RAND_00060	FALSE	5	5	5	1	1	1	1	1	1	11	11	11	7	7	7	9	9	9	5	5	5	1	1	1	11	11	11	11	11	11	FALSE	
RAND_00061	FALSE	5	5	5	7	7	7	11	11	11	7	7	7	9	9	9	3	3	3	1	1	1	1	1	1	5	5	5	3	3	3	FALSE	
RAND_00062	FALSE	5	5	5	3	3	3	7	7	7	3	3	3	3	3	3	1	1	1	11	11	11	3	3	3	3	3	3	7	7	7	FALSE	
RAND_00063	FALSE	5	5	5	3	3	3	3	3	3	3	3	3	7	7	7	1	1	1	7	7	7	7	7	7	1	1	1	1	1	1	FALSE	
RAND_00064	FALSE	5	5	5	9	9	9	11	11	11	11	11	11	9	9	9	9	9	9	5	5	5	9	9	9	5	5	5	11	11	11	FALSE	
RAND_00065	FALSE	5	5	5	11	11	11	5	5	5	3	3	3	5	5	5	1	1	1	7	7	7	3	3	3	9	9	9	11	11	11	FALSE	
RAND_00066	FALSE	5	5	5	1	1	1	7	7	7	9	9	9	11	11	11	11	11	11	11	11	11	7	7	7	5	5	5	5	5	5	FALSE	
RAND_00067	FALSE	5	5	5	3	3	3	7	7	7	1	1	1	5	5	5	5	5	5	11	11	11	3	3	3	9	9	9	9	9	9	FALSE	
RAND_00068	FALSE	5	5	5	3	3	3	1	1	1	9	9	9	11	11	11	3	3	3	3	3	3	7	7	7	3	3	3	3	3	3	FALSE	
RAND_00069	FALSE	5	5	5	7	7	7	7	7	7	7	7	7	3	3	3	5	5	5	1	1	1	1	1	1	1	1	1	7	7	7	FALSE	
RAND_00070	FALSE	5	5	5	7	7	7	7	7	7	5	5	5	5	5	5	11	11	11	11	11	11	1	1	1	1	1	1	5	5	5	FALSE	
RAND_00071	FALSE	5	5	5	11	11	11	9	9	9	5	5	5	9	9	9	11	11	11	5	5	5	5	5	5	1	1	1	3	3	3	FALSE	
RAND_00072	FALSE	5	5	5	3	3	3	9	9	9	7	7	7	11	11	11	11	11	11	7	7	7	7	7	7	11	11	11	3	3	3	FALSE	
RAND_00073	FALSE	5	5	5	9	9	9	9	9	9	3	3	3	9	9	9	5	5	5	5	5	5	3	3	3	9	9	9	5	5	5	FALSE	
RAND_00074	FALSE	5	5	5	7	7	7	7	7	7	3	3	3	1	1	1	1	1	1	3	3	3	11	11	11	1	1	1	3	3	3	FALSE	
RAND_00075	FALSE	5	5	5	5	5	5	7	7	7	9	9	9	11	11	11	7	7	7	5	5	5	11	11	11	5	5	5	11	11	11	FALSE	
RAND_00076	FALSE	5	5	5	7	7	7	3	3	3	11	11	11	5	5	5	3	3	3	5	5	5	5	5	5	9	9	9	9	9	9	FALSE	
RAND_00077	FALSE	5	5	5	9	9	9	7	7	7	9	9	9	7	7	7	1	1	1	9	9	9	7	7	7	1	1	1	9	9	9	FALSE	
RAND_00078	FALSE	5	5	5	11	11	11	3	3	3	3	3	3	3	3	3	7	7	7	11	11	11	5	5	5	3	3	3	7	7	7	FALSE	
RAND_00079	FALSE	5	5	5	5	5	5	7	7	7	1	1	1	3	3	3	5	5	5	7	7	7	5	5	5	7	7	7	11	11	11	FALSE	
RAND_00080	FALSE	5	5	5	3	3	3	5	5	5	9	9	9	7	7	7	9	9	9	9	9	9	11	11	11	3	3	3	11	11	11	FALSE	
RAND_00081	FALSE	5	5	5	1	1	1	11	11	11	1	1	1	7	7	7	7	7	7	9	9	9	5	5	5	5	5	5	5	5	5	FALSE	
RAND_00082	FALSE	5	5	5	3	3	3	7	7	7	9	9	9	5	5	5	9	9	9	11	11	11	5	5	5	11	11	11	9	9	9	FALSE	
RAND_00083	FALSE	5	5	5	7	7	7	1	1	1	9	9	9	11	11	11	5	5	5	1	1	1	1	1	1	5	5	5	11	11	11	FALSE	
RAND_00084	FALSE	5	5	5	11	11	11	11	11	11	5	5	5	9	9	9	5	5	5	3	3	3	5	5	5	7	7	7	5	5	5	FALSE	
RAND_00085	FALSE	5	5	5	1	1	1	7	7	7	7	7	7	11	11	11	3	3	3	9	9	9	3	3	3	11	11	11	9	9	9	FALSE	
RAND_00086	FALSE	5	5	5	11	11	11	3	3	3	7	7	7	11	11	11	1	1	1	7	7	7	7	7	7	7	7	7	1	1	1	FALSE	
RAND_00087	FALSE	5	5	5	3	3	3	5	5	5	9	9	9	9	9	9	9	9	9	7	7	7	5	5	5	5	5	5	11	11	11	FALSE	
RAND_00088	FALSE	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	3	3	3	1	1	1	11	11	11	3	3	3	1	1	1	FALSE	
